Item Group,Parent Item Group,Is Group,Item Group Name,Description,Tags,Level,Category ID,Parent Category ID
Bird Ladders & Perches,Bird Supplies,0,Bird Ladders & Perches,,,2,ap-2-1-5,ap-2-1
Bird Toys,Bird Supplies,0,Bird Toys,,,2,ap-2-1-6,ap-2-1
Bird Treats,Bird Supplies,0,Bird Treats,,,2,ap-2-1-7,ap-2-1
Bird Cage Accessories,Animals & Pet Supplies,1,Bird Cage Accessories,,,1,ap-2-1-1,
Bird Cage Bird Baths,Bird Cage Accessories,0,Bird Cage Bird Baths,,,2,ap-2-1-1-1,ap-2-1-1
Bird Cage Food & Water Dishes,Bird Cage Accessories,0,Bird Cage Food & Water Dishes,,,2,ap-2-1-1-2,ap-2-1-1
Bird Cage Bird Baths,Animals & Pet Supplies,0,Bird Cage Bird Baths,,,1,ap-2-1-1-1,
Bird Cage Food & Water Dishes,Animals & Pet Supplies,1,Bird Cage Food & Water Dishes,,,1,ap-2-1-1-2,
Bird Cage Food Dishes,Bird Cage Food & Water Dishes,0,Bird Cage Food Dishes,,,2,ap-2-1-1-2-1,ap-2-1-1-2
Bird Cage Water Dishes,Bird Cage Food & Water Dishes,0,Bird Cage Water Dishes,,,2,ap-2-1-1-2-2,ap-2-1-1-2
Combined Bird Cage Food & Water Dishes,Bird Cage Food & Water Dishes,0,Combined Bird Cage Food & Water Dishes,,,2,ap-2-1-1-2-3,ap-2-1-1-2
Bird Cage Food Dishes,Animals & Pet Supplies,0,Bird Cage Food Dishes,,,1,ap-2-1-1-2-1,
Bird Cage Water Dishes,Animals & Pet Supplies,0,Bird Cage Water Dishes,,,1,ap-2-1-1-2-2,
Combined Bird Cage Food & Water Dishes,Animals & Pet Supplies,0,Combined Bird Cage Food & Water Dishes,,,1,ap-2-1-1-2-3,
Bird Cages & Stands,Animals & Pet Supplies,0,Bird Cages & Stands,,,1,ap-2-1-2,
Bird Food,Animals & Pet Supplies,0,Bird Food,,,1,ap-2-1-3,
Bird Gyms & Playstands,Animals & Pet Supplies,0,Bird Gyms & Playstands,,,1,ap-2-1-4,
Bird Ladders & Perches,Animals & Pet Supplies,1,Bird Ladders & Perches,,,1,ap-2-1-5,
Ladders & Steps,Bird Ladders & Perches,0,Ladders & Steps,,,2,ap-2-1-5-1,ap-2-1-5
Swings & Perches,Bird Ladders & Perches,0,Swings & Perches,,,2,ap-2-1-5-2,ap-2-1-5
Ladders & Steps,Animals & Pet Supplies,0,Ladders & Steps,,,1,ap-2-1-5-1,
Swings & Perches,Animals & Pet Supplies,0,Swings & Perches,,,1,ap-2-1-5-2,
Bird Toys,Animals & Pet Supplies,1,Bird Toys,,,1,ap-2-1-6,
Balls & Fetch Toys,Bird Toys,0,Balls & Fetch Toys,,,2,ap-2-1-6-1,ap-2-1-6
